,Group.1,alb.x,bic.x,lob.x,lyr.x,mac.x,mic.x,mon.x,mue.x,pri.x,sin.x,ste.x,stemar.x,mar.x,alb.y,bic.y,lob.y,lyr.y,mac.y,mic.y,mon.y,mue.y,pri.y,sin.y,mar.y,ste.y,stemar.y,colnum,species,state,site,lat,long,sp,hyb,,
291,SYST-MOR-0006994,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.50E-05,0.9999,2.00E-05,2.00E-05,2.50E-05,1.90E-05,1.20E-05,2.00E-05,1.30E-05,1.40E-05,1.00E-05,1.00E-05,2.00E-05,MI_PRA_274_MG,Quercus bicolor Willd.,Michigan,Pinckney Recreation Area,42.416812,-83.997924,bic,pure,1.00E+00,pure
292,SYST-MOR-0006995,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.99989,2.20E-05,2.00E-05,2.00E-05,1.80E-05,2.00E-05,2.00E-05,1.30E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MI_PRA_275_MG,Quercus bicolor Willd.,Michigan,Pinckney Recreation Area,42.41744,-83.999619,bic,pure,1.00E+00,pure
293,SYST-MOR-0006996,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.9999,2.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MI_PRA_276_MG,Quercus bicolor Willd.,Michigan,Pinckney Recreation Area,42.416401,-83.4003907,bic,pure,1.00E+00,pure
294,SYST-MOR-0006997,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.9999,2.00E-05,2.00E-05,2.20E-05,2.00E-05,1.80E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MI_PRA_277_MG,Quercus bicolor Willd.,Michigan,Pinckney Recreation Area,42.418191,-84.002222,bic,pure,1.00E+00,pure
296,SYST-MOR-0006999,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,0,0,0,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,0,0,0,0,0,1.00E-05,MI_PRA_279_MG,Quercus macrocarpa Michx.,Michigan,Pinckney Recreation Area,42.4465,-84.00232,mac,pure,1.00E+00,pure
297,SYST-MOR-0007000,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MI_PRA_280_MG,Quercus alba L.,Michigan,Pinckney Recreation Area,42.446421,-84.001964,alb,pure,1.00E+00,pure
298,SYST-MOR-0007001,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,0,0,0,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,0,0,0,0,0,1.00E-05,MI_PRA_281_MG,Quercus macrocarpa Michx.,Michigan,Pinckney Recreation Area,42.44626,-83.999114,mac,pure,1.00E+00,pure
299,SYST-MOR-0007002,2.10E-05,1.40E-05,1.00E-05,1.00E-05,0.999874,1.40E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.70E-05,0,2.10E-05,1.40E-05,1.00E-05,1.00E-05,0.999874,1.40E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.70E-05,MI_PRA_282_MG,Quercus macrocarpa Michx.,Michigan,Pinckney Recreation Area,42.446265,-83.998517,mac,pure,1.00E+00,pure
300,SYST-MOR-0007003,1.20E-05,0,0.000725,0,0.999183,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.20E-05,0,0.000725,0,0.999183,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MI_PRA_283_MG,Quercus macrocarpa Michx.,Michigan,Pinckney Recreation Area,42.446328,-83.997734,mac,pure,9.99E-01,pure
301,SYST-MOR-0007004,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.9999,2.00E-05,1.00E-05,2.50E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MI_LLP_284_MG,Quercus bicolor Willd.,Michigan,Lake Lansing Park,42.766749,-84.385411,bic,pure,1.00E+00,pure
302,SYST-MOR-0007005,0.999889,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,0,0,1.00E-05,0,0.9999,2.00E-05,1.00E-05,1.00E-05,2.00E-05,1.30E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.10E-05,0,1.10E-05,MI_LLP_285_MG,Quercus alba L.,Michigan,Lake Lansing Park,42.766619,-84.385326,alb,pure,1.00E+00,pure
304,SYST-MOR-0007007,0.999881,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.99989,2.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.90E-05,1.00E-05,1.00E-05,0,0,1.00E-05,MI_LLP_287_MG,Quercus alba L.,Michigan,Lake Lansing Park,42.767026,-84.384641,alb,pure,1.00E+00,pure
305,SYST-MOR-0007008,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.9999,2.00E-05,2.00E-05,2.70E-05,1.50E-05,1.40E-05,2.00E-05,1.50E-05,1.90E-05,1.30E-05,1.10E-05,2.40E-05,MI_LLP_288_MG,Quercus bicolor Willd.,Michigan,Lake Lansing Park,42.766161,-84.382459,bic,pure,1.00E+00,pure
306,SYST-MOR-0007009,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,1.00E-05,0,0.9999,2.00E-05,2.00E-05,1.00E-05,2.00E-05,1.70E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,MI_LLP_289_MG,Quercus alba L.,Michigan,Lake Lansing Park,42.766255,-84.382335,alb,pure,1.00E+00,pure
308,SYST-MOR-0007011,0.9999,1.00E-05,1.00E-05,1.00E-05,2.00E-05,0,0,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.9999,1.00E-05,1.00E-05,1.00E-05,2.00E-05,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,MI_LLP_291_MG,Quercus alba L.,Michigan,Lake Lansing Park,42.765598,-84.37805,alb,pure,1.00E+00,pure
309,SYST-MOR-0007012,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.9999,2.00E-05,2.00E-05,2.40E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MI_LLP_292_MG,Quercus bicolor Willd.,Michigan,Lake Lansing Park,42.765287,-84.382497,bic,pure,1.00E+00,pure
310,SYST-MOR-0007013,0.999889,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.9999,2.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.50E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MI_LLP_293_MG,Quercus alba L.,Michigan,Lake Lansing Park,42.76512,-84.382422,alb,pure,1.00E+00,pure
311,SYST-MOR-0007014,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999897,1.00E-05,1.00E-05,0,0,0,0,1.40E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999897,1.00E-05,1.00E-05,0,0,0,0,0,1.40E-05,MI_LLP_294_MG,Quercus macrocarpa Michx.,Michigan,Lake Lansing Park,42.765066,-84.389009,mac,pure,1.00E+00,pure
313,SYST-MOR-0007016,1.70E-05,0,1.00E-05,0,0.999886,1.00E-05,1.00E-05,1.20E-05,1.10E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.70E-05,0,1.00E-05,0,0.999886,1.00E-05,1.00E-05,1.20E-05,1.10E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KS_SMP_296_MG,Quercus macrocarpa Michx.,Kansas,Shawnee Mission Park ,38.980804,-94.789402,mac,pure,1.00E+00,pure
315,SYST-MOR-0007018,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KS_SMP_298_MG,Quercus macrocarpa Michx.,Kansas,Shawnee Mission Park ,38.981181,-94.790359,mac,pure,1.00E+00,pure
316,SYST-MOR-0007019,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.99989,0,2.00E-05,2.00E-05,1.10E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,2.00E-05,0.002162,1.00E-05,1.00E-05,0.99989,0.9999,KS_SMP_299_MG,Quercus stellata Wangenh.,Kansas,Shawnee Mission Park,38.981382,-94.791558,ste,pure,1.00E+00,pure
317,SYST-MOR-0007020,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.99989,0,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.99989,0,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KS_SMP_300_MG,Quercus macrocarpa Michx.,Kansas,Shawnee Mission Park ,38.981467,-94.791896,mac,pure,1.00E+00,pure
318,SYST-MOR-0007021,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KS_SMP_301_MG,Quercus muehlenbergii Engelm.,Kansas,Shawnee Mission Park,38.981539,-94.792305,mue,pure,1.00E+00,pure
319,SYST-MOR-0007022,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999886,1.00E-05,1.40E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999886,1.00E-05,1.40E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KS_SMP_302_MG,Quercus macrocarpa Michx.,Kansas,Shawnee Mission Park ,38.981904,-94.793731,mac,pure,1.00E+00,pure
321,SYST-MOR-0007024,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.99989,0,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.99989,0,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KS_SMP_304_MG,Quercus macrocarpa Michx.,Kansas,Shawnee Mission Park ,38.981944,-94.794164,mac,pure,1.00E+00,pure
323,SYST-MOR-0007026,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.99989,0,2.00E-05,2.00E-05,1.40E-05,1.30E-05,2.70E-05,1.00E-05,1.00E-05,2.00E-05,1.40E-05,1.00E-05,1.00E-05,0.99989,0.9999,KS_SMP_306_MG,Quercus stellata Wangenh.,Kansas,Shawnee Mission Park ,38.980548,-94.789849,ste,pure,1.00E+00,pure
325,SYST-MOR-0007028,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.99989,0,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.90E-05,1.60E-05,1.20E-05,2.00E-05,1.00E-05,1.20E-05,1.00E-05,0.99989,0.9999,KS_SMP_308_MG,Quercus stellata Wangenh.,Kansas,Shawnee Mission Park ,38.98826,-94.801263,ste,pure,1.00E+00,pure
326,SYST-MOR-0007029,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.99989,0,1.00E-05,2.00E-05,1.00E-05,2.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,0.9999,KS_SMP_309_MG,Quercus stellata Wangenh.,Kansas,Shawnee Mission Park,38.988772,-94.801448,ste,pure,1.00E+00,pure
327,SYST-MOR-0007030,0.9999,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,1.00E-05,0,0.9999,2.00E-05,1.00E-05,1.00E-05,1.30E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.40E-05,1.00E-05,2.40E-05,KS_SMP_310_MG,Quercus alba L.,Kansas,Shawnee Mission Park,38.980013,-94.808196,alb,pure,1.00E+00,pure
328,SYST-MOR-0007031,0.99989,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,1.00E-05,0,0.9999,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,KS_SMP_311_MG,Quercus alba L.,Kansas,Shawnee Mission Park ,38.979953,-94.808065,alb,pure,1.00E+00,pure
329,SYST-MOR-0007032,0.999883,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0,0,0,0,1.00E-05,0,0.99989,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.70E-05,0,1.00E-05,0,1.00E-05,KS_SMP_312_MG,Quercus alba L.,Kansas,Shawnee Mission Park,38.97957,-94.806827,alb,pure,1.00E+00,pure
330,SYST-MOR-0007033,0.999882,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.99989,1.00E-05,2.00E-05,1.00E-05,3.00E-05,1.00E-05,1.40E-05,1.00E-05,1.00E-05,1.00E-05,1.50E-05,1.00E-05,2.50E-05,KS_SMP_313_MG,Quercus alba L.,Kansas,Shawnee Mission Park ,38.979519,-94.80808,alb,pure,1.00E+00,pure
331,SYST-MOR-0007034,0.999889,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,0.99989,2.00E-05,2.00E-05,1.40E-05,2.00E-05,1.10E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KS_SMP_314_MG,Quercus alba L.,Kansas,Shawnee Mission Park,38.979835,-94.807522,alb,pure,1.00E+00,pure
332,SYST-MOR-0007035,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,2.00E-05,2.00E-05,2.00E-05,2.10E-05,1.00E-05,1.90E-05,0.9999,1.10E-05,1.10E-05,1.00E-05,1.00E-05,2.00E-05,KS_KCP_315_MG,Quercus prinoides Willd.,Kansas,Kill Creek Park,38.917272,-94.973531,mue,pure,1.00E+00,pure
334,SYST-MOR-0007037,1.00E-05,2.40E-05,1.00E-05,1.00E-05,0.999886,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,2.40E-05,1.00E-05,1.00E-05,0.999886,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,KS_KZP_317_MG,Quercus macrocarpa Michx.,Kansas,Konza Prairie Biological Station,39.106899,-96.607647,mac,pure,1.00E+00,pure
335,SYST-MOR-0007038,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KS_KZP_318_MG,Quercus macrocarpa Michx.,Kansas,Konza Prairie Biological Station,39.107656,-96.606832,mac,pure,1.00E+00,pure
337,SYST-MOR-0007040,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,0,0,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,KS_KZP_320_MG,Quercus macrocarpa Michx.,Kansas,Konza Prairie Biological Station,39.107911,-96.604942,mac,pure,1.00E+00,pure
339,SYST-MOR-0007042,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.999887,1.00E-05,1.30E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.999887,1.00E-05,1.30E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,KS_KZP_322_MG,Quercus macrocarpa Michx.,Kansas,Konza Prairie Biological Station,39.107839,-96.604185,mac,pure,1.00E+00,pure
340,SYST-MOR-0007043,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0,0,0.99989,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0,0,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KS_KZP_323_MG,Quercus muehlenbergii Engelm.,Kansas,Konza Prairie Biological Station,39.107811,-96.603104,mue,pure,1.00E+00,pure
341,SYST-MOR-0007044,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,1.00E-05,2.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,KS_KZP_324_MG,Quercus muehlenbergii Engelm.,Kansas,Konza Prairie Biological Station,39.107946,-96.602302,mue,pure,1.00E+00,pure
342,SYST-MOR-0007045,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0,0,0,1.00E-05,KS_KZP_325_MG,Quercus macrocarpa Michx.,Kansas,Konza Prairie Biological Station,39.108092,-96.602194,mac,pure,1.00E+00,pure
346,SYST-MOR-0007049,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,0,0,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,0,0,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,NY_BIP_329_MG,Quercus macrocarpa Michx.,New York,Buckhorn Island State Park ,43.060034,-78.972551,mac,pure,1.00E+00,pure
348,SYST-MOR-0007051,0.999875,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0,0,0,0,1.80E-05,0,0.99989,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.10E-05,1.00E-05,0,0,1.00E-05,1.00E-05,0,2.00E-05,NY_BIP_331_MG,Quercus alba L.,New York,Buckhorn Island State Park ,43.057209,-78.986107,alb,pure,1.00E+00,pure
350,SYST-MOR-0007053,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,0,1.00E-05,NY_BIP_333_MG,Quercus alba L.,New York,Buckhorn Island State Park ,43.05678,-78.985107,alb,pure,1.00E+00,pure
351,SYST-MOR-0007054,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,0.99989,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,NY_BIP_334_MG,Quercus alba L.,New York,Buckhorn Island State Park ,43.056681,-78.984002,alb,pure,1.00E+00,pure
355,SYST-MOR-0007059,1.00E-05,0.999889,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.99989,1.00E-05,2.00E-05,2.40E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,NY_BIP_339_MG,Quercus bicolor Willd.,New York,Buckhorn Island State Park ,43.055626,-78.974953,bic,pure,1.00E+00,pure
357,SYST-MOR-0007061,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.9999,2.10E-05,2.00E-05,2.00E-05,2.80E-05,1.90E-05,1.70E-05,2.00E-05,1.40E-05,1.70E-05,1.10E-05,1.30E-05,2.30E-05,NY_SSP_341_MG,Quercus alba L.,New York,Sampson State Park ,42.706592,-76.900946,alb,pure,1.00E+00,pure
358,SYST-MOR-0007062,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.9999,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,NY_SSP_342_MG,Quercus alba L.,New York,Sampson State Park ,42.700906,-76.897109,alb,pure,1.00E+00,pure
359,SYST-MOR-0007064,0.999888,1.00E-05,1.00E-05,1.00E-05,1.20E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,0.99989,1.40E-05,2.00E-05,2.00E-05,2.00E-05,1.00E-05,1.40E-05,1.20E-05,1.00E-05,1.00E-05,0,0,1.00E-05,NY_SSP_344_MG,Quercus alba L.,New York,Sampson State Park ,42.699741,-76.895966,alb,pure,1.00E+00,pure
360,SYST-MOR-0007065,0.99989,1.00E-05,1.00E-05,1.00E-05,2.00E-05,0,0,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.9999,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,NY_SSP_345_MG,Quercus alba L.,New York,Sampson State Park ,42.698392,-76.895201,alb,pure,1.00E+00,pure
361,SYST-MOR-0007066,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,0,0,1.00E-05,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,0,0,1.00E-05,0,0,1.00E-05,NY_SSP_346_MG,Quercus macrocarpa Michx.,New York,Sampson State Park ,42.740505,-76.905845,mac,pure,1.00E+00,pure
364,SYST-MOR-0007069,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,0,0,1.00E-05,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,0,0,1.00E-05,0,0,1.00E-05,NY_SSP_349_MG,Quercus macrocarpa Michx.,New York,Sampson State Park ,42.734695,-76.903081,mac,pure,1.00E+00,pure
365,SYST-MOR-0007070,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,0,1.00E-05,NY_SSP_350_MG,Quercus macrocarpa Michx.,New York,Sampson State Park ,42.733991,-76.902518,mac,pure,1.00E+00,pure
366,SYST-MOR-0007071,0,1.00E-05,1.20E-05,1.00E-05,0.999898,0,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0,1.00E-05,1.20E-05,1.00E-05,0.999898,0,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,NY_CMB_351_MG,Quercus macrocarpa Michx.,New York,Chaumont Barrens Nature Preserve ,44.101259,-76.074805,mac,pure,1.00E+00,pure
367,SYST-MOR-0007072,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,NY_CMB_352_MG,Quercus macrocarpa Michx.,New York,Chaumont Barrens Nature Preserve ,44.099712,-76.075818,mac,pure,1.00E+00,pure
368,SYST-MOR-0007073,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,0,1.00E-05,NY_CMB_353_MG,Quercus macrocarpa Michx.,New York,Chaumont Barrens Nature Preserve ,44.098864,-76.076791,mac,pure,1.00E+00,pure
370,SYST-MOR-0007075,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,NY_CMB_355_MG,Quercus alba L.,New York,Chaumont Barrens Nature Preserve ,44.098024,-76.079464,alb,pure,1.00E+00,pure
